"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"O14558",2.15293800229361,-0.030008132219471,5.90020491464974,4.26857954348877e-05,0.029035586930417,2.35228112505529
"P06703",2.15561068365358,0.84677592795347,5.78923980397213,5.16107600251604e-05,0.029035586930417,2.18065694463962
"P15259",2.77744853612458,0.016974792189469,5.76026235656807,5.42494534240935e-05,0.029035586930417,2.13550446532074
"Q09666",1.91297711730082,1.12666418544995,5.72835989195525,5.7318509668425e-05,0.029035586930417,2.08563449055678
"P55087",1.44230885812773,0.709747009262845,5.52627855313763,8.14898464458297e-05,0.029035586930417,1.76587391100591
"P05362",1.80837286682574,0.8026291000452,5.50317858708073,8.48646469038567e-05,0.029035586930417,1.72889949082752
"P84243",1.73017176640121,-1.47690429472281,5.49328381184173,8.63545873188458e-05,0.029035586930417,1.71303532254892
"P16070",2.10154981697078,1.17858114880163,5.46386840746904,9.09473863434626e-05,0.029035586930417,1.66578093135613
"P27338",2.18229633470873,0.694231956202123,5.43664224466882,9.54258314162869e-05,0.029035586930417,1.62191966289123
"P01024",1.44876235152897,0.227247345467541,5.41142883770369,9.97786492454192e-05,0.029035586930417,1.58119514205637
"Q14956",3.62289973520777,0.259829077231041,5.33144258582807,0.000115011282727454,0.0297874892308697,1.45133230147376
"P01903",2.71559890809102,0.888132283448967,5.26950855589426,0.000128462382476891,0.0297874892308697,1.35008426515176
"P04792",2.08145155248197,-0.0286423904284069,5.19369092031639,0.000147192048060324,0.0297874892308697,1.22532399954173
"P17302",1.95311430740935,-0.044489940389088,5.19230519509957,0.000147559706458158,0.0297874892308697,1.22303545514528
"P07355",2.14973172583997,1.07204429594314,5.08950589943384,0.00017768479285251,0.0297874892308697,1.05244021288711
"P46976",1.2949575261926,0.114603919231322,5.08826831866354,0.000178084151183949,0.0297874892308697,1.05037665193853
"P17655",1.24216605688814,0.467307451476103,5.0650187510095,0.000185762616226927,0.0297874892308697,1.01156703329064
"Q9HBI6",2.12994035236052,0.35713240686858,5.05673509332939,0.000188580889158471,0.0297874892308697,0.99771978654333
"P00738",3.96290081500119,-0.702147375929051,5.03978017940046,0.000194488761301211,0.0297874892308697,0.969345293685145
"P26038",1.50747009278873,0.747999262815674,5.0023511044552,0.000208221886212585,0.0302962844439311,0.906554921313753
