"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Q96EQ0",-1.49063288849305,0.219785824598026,-8.47631289079667,5.23981209652307e-08,7.77639649949516e-05,8.50340705606234
"P02743",3.79365162814428,-0.574236994705359,8.40174440626817,6.01655435164035e-08,7.77639649949516e-05,8.37738475480455
"P27338",2.08126191048594,0.047756835564298,7.94605284389296,1.4225701133257e-07,0.000122578124764898,7.58882870576386
"P17302",1.82083866615426,-0.190301501308207,7.16075969132582,6.68851981295768e-07,0.00043224559291239,6.1547122479054
"Q13228",1.3903003401496,0.449661539812011,7.04897586409209,8.39376427936073e-07,0.00043395761324295,5.94281561664687
"P02763",3.3009692480078,-0.147137530625658,6.82076463594136,1.34144499744143e-06,0.000565924666662459,5.50427798780305
"P17931",1.43481505201203,-0.15161365675396,6.75656853504513,1.53248459057532e-06,0.000565924666662459,5.37949008841659
"P17655",1.24039289990217,0.20194162625319,6.49396634690476,2.65706002784146e-06,0.000858562521496272,4.86259976144812
"P46976",1.41486379926745,-0.217327608348848,6.28288327908896,4.16253857282004e-06,0.00119557357897109,4.43976637855731
"Q15847",1.94008499842141,1.18440133160468,6.121344968207,5.89154315089155e-06,0.00142126223210878,4.11188152046968
"Q14956",3.62132493850003,0.07361538374379,6.10922483390298,6.04792439195226e-06,0.00142126223210878,4.08713349174445
"O95757",-1.09461074605943,-0.31659123563677,-5.79027768370506,1.21286424368109e-05,0.00244489217323338,3.42875870097172
"P13796",1.6154338393848,0.431828813758494,5.76838548732267,1.27276715505513e-05,0.00244489217323338,3.3830803624357
"P01876",2.72434694777966,-0.199184983185004,5.70659764234074,1.45871443886804e-05,0.00244489217323338,3.25383399868109
"O43765",-1.3120084100284,0.286359427955046,-5.70125257632792,1.47605411916962e-05,0.00244489217323338,3.24263096185667
"Q96AQ6",1.61364408861661,0.272048700578919,5.68999145083473,1.51327948826824e-05,0.00244489217323338,3.21901656361716
"Q14624",2.34770236002227,-0.0585158061772611,5.65621165454315,1.63081169703979e-05,0.0024788702007994,3.14808749364784
"P00738",4.31743161226333,-0.499703222247483,5.60281615586099,1.83597093696023e-05,0.0024788702007994,3.0356880924584
"P00450",1.70139281940213,0.224952913036843,5.59685576696417,1.86045391669617e-05,0.0024788702007994,3.02312005924344
"P50440",0.99080199628566,0.254259128528014,5.5831823992157,1.91788796967072e-05,0.0024788702007994,2.99427255601774
"P30041",1.39895270540111,0.210324103276088,5.55599540264699,2.03753062343993e-05,0.00250810317218677,2.93684902322395
